epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1899.19,1.09073,1.10796,0.01394,0.53061,0.54093,0.54825,0.39362,1.21646,1.63972,0.01931,9.5109e-05,9.5109e-05,9.5109e-05
43,1938.44,1.08295,1.06309,0.01361,0.59845,0.52455,0.56487,0.4005,1.2283,1.56952,0.01967,9.0258e-05,9.0258e-05,9.0258e-05
44,1978.4,1.07348,1.08889,0.01398,0.57285,0.5406,0.54953,0.38595,1.22599,1.66536,0.01949,8.5407e-05,8.5407e-05,8.5407e-05
45,2018.5,1.07045,1.06067,0.01357,0.58858,0.53932,0.55941,0.39869,1.22553,1.58883,0.01948,8.0556e-05,8.0556e-05,8.0556e-05
46,2059.49,1.06693,1.04832,0.01353,0.56359,0.54662,0.55326,0.38641,1.22081,1.62329,0.01931,7.5705e-05,7.5705e-05,7.5705e-05
47,2099.27,1.07761,1.0282,0.01335,0.54066,0.56773,0.55264,0.39284,1.21407,1.61646,0.01922,7.0854e-05,7.0854e-05,7.0854e-05
48,2138.37,1.05277,1.01944,0.01302,0.55142,0.58746,0.56675,0.4024,1.20721,1.61981,0.01922,6.6003e-05,6.6003e-05,6.6003e-05
49,2178.1,1.05155,1.00591,0.01337,0.57892,0.56816,0.56468,0.39674,1.22793,1.66301,0.01947,6.1152e-05,6.1152e-05,6.1152e-05
50,2217.9,1.04394,0.96872,0.01294,0.57091,0.5534,0.56486,0.3991,1.2203,1.6557,0.01926,5.6301e-05,5.6301e-05,5.6301e-05
51,2284.37,0.98845,0.74898,0.0155,0.52286,0.59351,0.56318,0.39587,1.21764,1.60765,0.0193,5.145e-05,5.145e-05,5.145e-05
52,2323.85,0.96288,0.70431,0.01461,0.64162,0.50355,0.57231,0.40032,1.22205,1.61189,0.01946,4.6599e-05,4.6599e-05,4.6599e-05
53,2362.79,0.95965,0.69418,0.01447,0.55471,0.5689,0.56489,0.40156,1.22185,1.61211,0.0194,4.1748e-05,4.1748e-05,4.1748e-05
54,2401.59,0.95708,0.68418,0.01444,0.55537,0.56984,0.56468,0.39768,1.22812,1.60343,0.01961,3.6897e-05,3.6897e-05,3.6897e-05
55,2440.66,0.95674,0.67597,0.01467,0.58365,0.56296,0.57662,0.40589,1.22064,1.61022,0.01946,3.2046e-05,3.2046e-05,3.2046e-05
56,2480.43,0.94167,0.64226,0.0146,0.57308,0.56865,0.56868,0.40092,1.21453,1.62951,0.01927,2.7195e-05,2.7195e-05,2.7195e-05
57,2520.65,0.93752,0.63376,0.01422,0.58173,0.54155,0.56679,0.39655,1.21512,1.62304,0.01932,2.2344e-05,2.2344e-05,2.2344e-05
58,2561.03,0.94188,0.62887,0.01417,0.58264,0.5498,0.57437,0.40071,1.21913,1.59973,0.0193,1.7493e-05,1.7493e-05,1.7493e-05
59,2599.79,0.93544,0.634,0.01408,0.56052,0.58488,0.57615,0.40141,1.21917,1.61187,0.01939,1.2642e-05,1.2642e-05,1.2642e-05
60,2638.8,0.93355,0.62022,0.01388,0.58367,0.55877,0.57421,0.40221,1.21313,1.60485,0.0192,7.791e-06,7.791e-06,7.791e-06
