epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1905.88,1.13014,1.9793,1.39412,0.46497,0.47398,0.47409,0.32254,1.24141,1.73613,1.41906,6.1152e-05,6.1152e-05,6.1152e-05
42,1949.28,1.10278,1.90157,1.36396,0.45581,0.50317,0.48274,0.33336,1.23498,1.71757,1.41399,5.53308e-05,5.53308e-05,5.53308e-05
43,1993.07,1.10444,1.86355,1.36346,0.43395,0.50953,0.47653,0.32659,1.22731,1.72115,1.42083,4.95096e-05,4.95096e-05,4.95096e-05
44,2036.56,1.09109,1.84631,1.35619,0.42717,0.54386,0.48944,0.33515,1.24018,1.70712,1.4156,4.36884e-05,4.36884e-05,4.36884e-05
45,2079.88,1.0848,1.83483,1.36333,0.42671,0.53309,0.47061,0.32366,1.24213,1.71393,1.43029,3.78672e-05,3.78672e-05,3.78672e-05
46,2123.56,1.07953,1.82352,1.34731,0.50107,0.48659,0.47985,0.33408,1.22797,1.69804,1.4159,3.2046e-05,3.2046e-05,3.2046e-05
47,2167.34,1.08425,1.79704,1.34977,0.46363,0.5246,0.48155,0.3339,1.22186,1.68959,1.40845,2.62248e-05,2.62248e-05,2.62248e-05
48,2210.84,1.08089,1.7903,1.34998,0.48512,0.51463,0.48799,0.33656,1.22307,1.68685,1.41407,2.04036e-05,2.04036e-05,2.04036e-05
49,2255.01,1.08071,1.77573,1.36242,0.44054,0.53841,0.48714,0.33818,1.22962,1.67792,1.41743,1.45824e-05,1.45824e-05,1.45824e-05
50,2299.02,1.07688,1.75868,1.33579,0.46382,0.53899,0.49083,0.34121,1.23056,1.68086,1.41929,8.7612e-06,8.7612e-06,8.7612e-06
